GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,Event_Type,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,,att,made,,,,,,
Shot Chart Detail,22100093,397,2544,LeBron James,1610612747,Los Angeles Lakers,3,10,25,Missed Shot,0,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-91,252,1,0,20211031,LAL,HOU,,,,,,,,1,0
Shot Chart Detail,22100040,542,2544,LeBron James,1610612747,Los Angeles Lakers,4,9,42,Missed Shot,0,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-82,253,1,0,20211024,LAL,MEM,,,,,,,,1,1
Shot Chart Detail,22100093,610,2544,LeBron James,1610612747,Los Angeles Lakers,4,6,27,Missed Shot,0,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,28,-82,278,1,0,20211031,LAL,HOU,,,,,,,,1,1
Shot Chart Detail,22100002,395,2544,LeBron James,1610612747,Los Angeles Lakers,3,10,37,Missed Shot,0,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,29,-39,288,1,0,20211019,LAL,GSW,,,,,,,,1,0
Shot Chart Detail,22100077,539,2544,LeBron James,1610612747,Los Angeles Lakers,4,8,59,Missed Shot,0,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-38,259,1,0,20211029,LAL,CLE,,,,,,,,1,1
Shot Chart Detail,22100077,578,2544,LeBron James,1610612747,Los Angeles Lakers,4,5,9,Missed Shot,0,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,32,0,320,1,0,20211029,LAL,CLE,,,,,,,,1,1
Shot Chart Detail,22100093,649,2544,LeBron James,1610612747,Los Angeles Lakers,4,3,42,Missed Shot,0,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,6,251,1,0,20211031,LAL,HOU,,,,,,,,1,1
Shot Chart Detail,22100077,355,2544,LeBron James,1610612747,Los Angeles Lakers,3,10,56,Missed Shot,0,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,21,256,1,0,20211029,LAL,CLE,,,,,,,,1,1
Shot Chart Detail,22100025,180,2544,LeBron James,1610612747,Los Angeles Lakers,2,11,2,Made Shot,1,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,32,264,1,1,20211022,LAL,PHX,,,,,,,,1,1
Shot Chart Detail,22100040,284,2544,LeBron James,1610612747,Los Angeles Lakers,2,3,54,Missed Shot,0,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,51,243,1,0,20211024,LAL,MEM,,,,,,,,1,0
