GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,Event_Type,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,,att,made,,,,,,
Shot Chart Detail,22100093,422,2544,LeBron James,1610612747,Los Angeles Lakers,3,8,36,Made Shot,1,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211031,LAL,HOU,,,,,,,,,
Shot Chart Detail,22100093,438,2544,LeBron James,1610612747,Los Angeles Lakers,3,7,31,Made Shot,1,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,2,1,1,20211031,LAL,HOU,,,,,,,,,
Shot Chart Detail,22100107,57,2544,LeBron James,1610612747,Los Angeles Lakers,1,7,57,Missed Shot,0,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,13,1,0,20211102,LAL,HOU,,,,,,,,,
Shot Chart Detail,22100107,560,2544,LeBron James,1610612747,Los Angeles Lakers,4,8,51,Made Shot,1,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,12,1,1,20211102,LAL,HOU,,,,,,,,,
Shot Chart Detail,22100093,453,2544,LeBron James,1610612747,Los Angeles Lakers,3,6,18,Made Shot,1,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,4,1,1,20211031,LAL,HOU,,,,,,,,,
Shot Chart Detail,22100107,193,2544,LeBron James,1610612747,Los Angeles Lakers,2,10,37,Missed Shot,0,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,14,1,0,20211102,LAL,HOU,,,,,,,,,
Shot Chart Detail,22100040,397,2544,LeBron James,1610612747,Los Angeles Lakers,3,8,12,Made Shot,1,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,-1,1,1,20211024,LAL,MEM,,,,,,,,,
Shot Chart Detail,22100093,254,2544,LeBron James,1610612747,Los Angeles Lakers,2,7,5,Made Shot,1,Running Reverse Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,10,1,1,20211031,LAL,HOU,,,,,,,,,
Shot Chart Detail,22100107,569,2544,LeBron James,1610612747,Los Angeles Lakers,4,8,15,Made Shot,1,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,2,31,1,1,20211102,LAL,HOU,,,,,,,,,
Shot Chart Detail,22100107,46,2544,LeBron James,1610612747,Los Angeles Lakers,1,8,34,Made Shot,1,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,14,1,1,20211102,LAL,HOU,,,,,,,,,
Shot Chart Detail,22100025,406,2544,LeBron James,1610612747,Los Angeles Lakers,3,6,38,Made Shot,1,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,15,1,1,20211022,LAL,PHX,,,,,,,,,
Shot Chart Detail,22100093,56,2544,LeBron James,1610612747,Los Angeles Lakers,1,7,4,Missed Shot,0,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,6,25,1,0,20211031,LAL,HOU,,,,,,,,,
Shot Chart Detail,22100107,614,2544,LeBron James,1610612747,Los Angeles Lakers,4,4,14,Made Shot,1,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,15,1,1,20211102,LAL,HOU,,,,,,,,,
Shot Chart Detail,22100077,315,2544,LeBron James,1610612747,Los Angeles Lakers,2,2,0,Made Shot,1,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,7,16,1,1,20211029,LAL,CLE,,,,,,,,,
Shot Chart Detail,22100107,87,2544,LeBron James,1610612747,Los Angeles Lakers,1,5,4,Made Shot,1,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,15,1,1,20211102,LAL,HOU,,,,,,,,,
Shot Chart Detail,22100077,617,2544,LeBron James,1610612747,Los Angeles Lakers,4,2,15,Made Shot,1,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,4,1,1,20211029,LAL,CLE,,,,,,,,,
Shot Chart Detail,22100107,330,2544,LeBron James,1610612747,Los Angeles Lakers,2,1,20,Made Shot,1,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,10,32,1,1,20211102,LAL,HOU,,,,,,,,,
Shot Chart Detail,22100040,601,2544,LeBron James,1610612747,Los Angeles Lakers,4,5,15,Made Shot,1,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,12,32,1,1,20211024,LAL,MEM,,,,,,,,,
Shot Chart Detail,22100107,555,2544,LeBron James,1610612747,Los Angeles Lakers,4,9,8,Made Shot,1,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,12,26,1,1,20211102,LAL,HOU,,,,,,,,,
Shot Chart Detail,22100093,108,2544,LeBron James,1610612747,Los Angeles Lakers,1,4,33,Made Shot,1,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,17,11,1,1,20211031,LAL,HOU,,,,,,,,,
Shot Chart Detail,22100077,517,2544,LeBron James,1610612747,Los Angeles Lakers,4,10,8,Missed Shot,0,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,18,5,1,0,20211029,LAL,CLE,,,,,,,,,
Shot Chart Detail,22100025,48,2544,LeBron James,1610612747,Los Angeles Lakers,1,7,54,Missed Shot,0,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,20,1,0,20211022,LAL,PHX,,,,,,,,,
Shot Chart Detail,22100040,131,2544,LeBron James,1610612747,Los Angeles Lakers,1,2,50,Missed Shot,0,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,20,23,1,0,20211024,LAL,MEM,,,,,,,,,
Shot Chart Detail,22100077,70,2544,LeBron James,1610612747,Los Angeles Lakers,1,5,12,Missed Shot,0,Jump Bank Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,23,14,1,0,20211029,LAL,CLE,,,,,,,,,
Shot Chart Detail,22100025,435,2544,LeBron James,1610612747,Los Angeles Lakers,3,5,2,Missed Shot,0,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,29,27,1,0,20211022,LAL,PHX,,,,,,,,,
